construction,train,test,n_train,n_test,pos_train,pos_test,full_pr_auc,full_mean,full_lo,full_hi,d1_mean,d1_lo,d1_hi,d2_mean,d2_lo,d2_hi,d3_mean,d3_lo,d3_hi,n_valid
all_cleft,childes,ewt,64,164,15,29,0.6137374860956619,0.5841877186443396,0.35367752436218614,0.7581645633012822,0.11638201286961204,-0.07356648524287342,0.2640891672350063,0.0,0.0,0.0,0.32464027001049706,0.09054156435661936,0.45459755144394154,200
all_cleft,childes,gum,64,152,15,25,0.5796721804511278,0.555157626560068,0.334130925836378,0.7432734741913434,0.12039060773309193,-0.06545286881395267,0.25802635086783876,0.0,0.0,0.0,0.31760582300163004,0.11108017202875803,0.4470986157608965,200
all_cleft,ewt,childes,164,64,29,15,0.8301348039215687,0.8177829280802682,0.5847833994708994,0.9796762125902992,0.048674083309231946,-0.03837099433074663,0.17805361305361314,0.0,0.0,0.0,0.529953381886426,0.3771767548912604,0.6837733100233101,200
all_cleft,ewt,gum,164,152,29,25,0.5796721804511278,0.59328493548571,0.40099041023270987,0.7560067767042404,0.15313435994659563,0.04700833129135011,0.28681048506359075,0.0,0.0,0.0,0.3418078881125824,0.22282475575512853,0.47813395250699275,200
all_cleft,gum,childes,152,64,25,15,0.8301348039215687,0.8356661524506541,0.6291648562834226,0.9686541889483066,0.04249314691083114,-0.03967620666047231,0.14852591036414572,0.0,0.0,0.0,0.5301660501345904,0.3662497936795492,0.7121983225108225,200
all_cleft,gum,ewt,152,164,25,29,0.6137374860956619,0.6116474687985085,0.44511261505595284,0.769341905000968,0.1466791716363377,0.0335065523244871,0.2751031991744067,0.0,0.0,0.0,0.3463091839869126,0.2559496864347085,0.4686459512006534,200
npn,ewt,gum,24,23,18,19,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17457514897373644,0.04347826086956519,0.3086956521739128,197
npn,gum,ewt,23,24,19,18,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251073883161512,0.08333333333333337,0.45833333333333337,194
resultative_adj,childes,ewt,144,315,16,28,0.9333333333333333,0.9252773330799314,0.8331521739130435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8350233648259632,0.7481547619047619,0.9111111111111111,200
resultative_adj,childes,gum,144,272,16,17,0.8947368421052632,0.889480130309678,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8277889538390899,0.651875,0.9486213235294118,200
