family_name,median,ci_lower,ci_upper,n,mass_in_band,selection,replicate
Miwok-Costanoan,30.0,21.0,39.0,2,0.7316572344730231,largest,0
Mixe-Zoque,29.0,25.0,32.0,7,0.9775562423246145,largest,0
Mongolic-Khitan,36.0,35.0,42.0,16,0.8552472309827444,largest,0
Muskogean,21.0,21.0,25.0,5,0.839799645275389,largest,0
Naduhup,34.5,34.0,39.0,4,0.9999999997979723,largest,0
Nakh-Daghestanian,64.0,56.0,69.0,17,0.13995969928757118,largest,0
Nambiquaran,29.5,18.0,38.5,6,0.7747393231394307,largest,0
Narrow Talodi,27.0,21.0,38.0,5,0.8776984685588141,largest,0
Ndu,24.0,23.0,25.0,3,0.9999660655858269,largest,0
Nilotic,38.0,37.0,43.0,31,0.7401878452783628,largest,0
Nimboranic,18.0,18.0,18.0,1,,largest,0
Nivkh,44.0,44.0,44.0,3,,largest,0
North Bougainville,11.0,11.0,11.0,1,,largest,0
North Halmahera,24.0,23.0,25.0,2,0.9961752116650179,largest,0
Northern Daly,19.0,19.0,19.0,2,,largest,0
Nubian,45.0,45.0,45.0,2,,largest,0
Nuclear Torricelli,22.0,19.0,26.0,6,0.6978518251847821,largest,0
Nuclear Trans New Guinea,21.0,20.0,23.0,31,0.618151054024085,largest,0
Nuclear-Macro-Je,27.0,26.0,31.0,26,0.8457049212308486,largest,0
Nyimang,25.5,25.0,26.0,2,0.9999999999999996,largest,0
Nyulnyulan,20.0,20.0,25.0,11,0.7182652464119196,largest,0
Otomanguean,38.0,32.0,47.5,20,0.6917532238983826,largest,0
Palaihnihan,23.0,23.0,23.0,1,,largest,0
Pama-Nyungan,23.0,23.0,24.0,324,0.8159829631998619,largest,0
Pano-Tacanan,22.0,21.0,22.0,34,0.7776944844678831,largest,0
Peba-Yagua,23.0,18.0,23.0,3,0.6656496981135739,largest,0
Pidgin,36.0,36.0,36.0,1,,largest,0
Pomoan,38.0,38.0,39.0,3,1.0000000000000002,largest,0
Puri-Coroado,18.0,18.0,18.0,1,,largest,0
Quechuan,25.0,22.0,28.0,27,0.7870832475523991,largest,0
Sahaptian,36.0,36.0,36.0,2,,largest,0
Saharan,35.0,32.0,35.0,5,1.0,largest,0
Saliban,32.0,30.0,32.0,3,1.0000000000000002,largest,0
Salishan,43.0,37.0,44.0,11,0.9492290490943659,largest,0
Senagi,17.0,17.0,17.0,1,,largest,0
Sentanic,17.0,17.0,17.0,2,,largest,0
Sepik,19.0,15.0,28.07499999999959,8,0.562514583313941,largest,0
Shastan,21.0,21.0,21.0,1,,largest,0
Sino-Tibetan,48.0,46.0,49.0,135,0.5271272944799077,largest,0
Siouan,29.5,20.0,36.0,4,0.8063765196023935,largest,0
Sko,23.0,18.0,28.0,3,0.6954060846949041,largest,0
Songhay,48.0,43.0,48.0,7,0.635795732466013,largest,0
South Bird's Head,18.0,18.0,18.0,1,,largest,0
South Bougainville,18.0,18.0,18.0,2,,largest,0
South Omotic,36.0,35.0,73.0,3,0.46097199360397645,largest,0
Southern Daly,28.0,25.0,28.0,4,0.9999985446308678,largest,0
Speech Register,32.0,32.0,32.0,1,,largest,0
Surmic,34.0,28.5,49.0,6,0.7739808625447899,largest,0
Ta-Ne-Omotic,38.0,32.0,52.0,12,0.6759554396410163,largest,0
Tai-Kadai,38.0,34.0,43.0,25,0.7960981975745587,largest,0
Tamaic,30.0,30.0,30.0,1,,largest,0
Tangkic,24.0,24.0,25.0,4,1.0,largest,0
Tarascan,39.0,39.0,39.0,2,,largest,0
Teberan,23.0,23.0,23.0,1,,largest,0
Temeinic,36.0,25.0,47.0,2,0.6351018293580986,largest,0
Ticuna-Yuri,38.0,38.0,38.0,2,,largest,0
Timor-Alor-Pantar,34.0,28.0,40.0,2,0.8872865257938265,largest,0
Totonacan,30.0,26.0,36.0,4,0.9666795566993163,largest,0
Tsimshian,41.5,41.0,42.0,2,1.0,largest,0
Tucanoan,23.0,22.0,25.0,23,0.7389926209975727,largest,0
Tungusic,29.0,25.0,36.0,7,0.9544527490128996,largest,0
Tupian,26.0,26.0,27.0,61,0.8982057364016574,largest,0
Turkic,39.0,39.0,42.5,32,0.8546470209287176,largest,0
