family_name,N,median_inventory,iqr_inventory,selection,replicate
Marrku-Wurrugu,2,24.5,1.5,random,2
Mataguayan,5,28.0,0.0,random,2
Mayan,14,32.0,7.75,random,2
Maybratic,1,16.0,0.0,random,2
Mirndi,8,21.0,2.5,random,2
Misumalpan,1,28.0,0.0,random,2
Miwok-Costanoan,2,30.0,9.0,random,2
Mixe-Zoque,7,25.0,5.0,random,2
Mongolic-Khitan,16,36.0,10.0,random,2
Muskogean,5,21.0,4.0,random,2
Naduhup,4,34.5,2.0,random,2
Nakh-Daghestanian,17,64.0,15.0,random,2
Nambiquaran,6,29.5,12.75,random,2
Narrow Talodi,5,27.0,9.0,random,2
Ndu,3,24.0,1.0,random,2
Nilotic,31,38.0,15.5,random,2
Nimboranic,1,18.0,0.0,random,2
Nivkh,3,34.0,0.0,random,2
North Bougainville,1,11.0,0.0,random,2
North Halmahera,2,24.0,1.0,random,2
Northern Daly,2,19.0,0.0,random,2
Nubian,2,45.0,0.0,random,2
Nuclear Torricelli,6,22.0,1.5,random,2
Nuclear Trans New Guinea,31,21.0,5.0,random,2
Nuclear-Macro-Je,26,27.0,8.5,random,2
Nyimang,2,25.5,0.5,random,2
Nyulnyulan,11,20.0,5.0,random,2
Otomanguean,20,36.0,19.5,random,2
Palaihnihan,1,23.0,0.0,random,2
Pama-Nyungan,324,23.0,5.0,random,2
Pano-Tacanan,34,21.0,2.0,random,2
Peba-Yagua,3,23.0,2.5,random,2
Pidgin,1,36.0,0.0,random,2
Pomoan,3,38.0,0.5,random,2
Puri-Coroado,1,18.0,0.0,random,2
Quechuan,27,24.0,5.5,random,2
Sahaptian,2,30.0,0.0,random,2
Saharan,5,32.0,4.0,random,2
Saliban,3,32.0,1.0,random,2
Salishan,11,40.0,6.5,random,2
Senagi,1,17.0,0.0,random,2
Sentanic,2,17.0,0.0,random,2
Sepik,8,19.0,10.0,random,2
Shastan,1,21.0,0.0,random,2
Sino-Tibetan,135,43.0,17.0,random,2
Siouan,4,29.5,13.75,random,2
Sko,3,23.0,5.0,random,2
Songhay,7,48.0,10.0,random,2
South Bird's Head,1,18.0,0.0,random,2
South Bougainville,2,18.0,0.0,random,2
South Omotic,3,36.0,19.0,random,2
Southern Daly,4,24.0,2.75,random,2
Speech Register,1,32.0,0.0,random,2
Surmic,6,34.0,6.75,random,2
Ta-Ne-Omotic,12,38.0,21.5,random,2
Tai-Kadai,25,35.0,13.0,random,2
Tamaic,1,30.0,0.0,random,2
Tangkic,4,24.0,0.25,random,2
Tarascan,2,32.0,0.0,random,2
Teberan,1,23.0,0.0,random,2
Temeinic,2,36.0,11.0,random,2
Ticuna-Yuri,2,29.0,0.0,random,2
Timor-Alor-Pantar,2,34.0,6.0,random,2
Totonacan,4,30.0,8.5,random,2
Tsimshian,2,41.5,0.5,random,2
Tucanoan,23,23.0,7.5,random,2
Tungusic,7,25.0,2.0,random,2
Tupian,61,26.0,4.0,random,2
Turkic,32,38.0,10.0,random,2
Tuu,1,161.0,0.0,random,2
Unclassifiable,1,21.0,0.0,random,2
Uralic,46,34.0,7.0,random,2
Uru-Chipaya,2,42.0,9.0,random,2
Uto-Aztecan,18,27.0,10.0,random,2
Wakashan,4,51.0,8.0,random,2
Western Daly,6,27.5,7.75,random,2
Wintuan,1,35.0,0.0,random,2
Worrorran,9,25.0,1.0,random,2
Yangmanic,2,22.0,0.0,random,2
Yanomamic,11,24.0,12.5,random,2
Yareban,1,18.0,0.0,random,2
Yawa-Saweru,1,19.0,0.0,random,2
Yeniseian,2,25.0,0.0,random,2
Yukaghir,5,32.0,4.0,random,2
Yuki-Wappo,2,32.5,2.5,random,2
Zamucoan,2,33.5,3.5,random,2
Zaparoan,5,19.0,4.0,random,2
(Unknown),103,30.0,12.0,random,3
Abkhaz-Adyge,4,57.0,6.75,random,3
Afro-Asiatic,139,38.0,10.5,random,3
Ainu,2,17.0,0.0,random,3
Algic,8,28.0,9.5,random,3
Angan,1,21.0,0.0,random,3
Araucanian,3,26.0,0.0,random,3
Arawakan,58,25.0,7.0,random,3
Arawan,6,21.5,6.25,random,3
Athabaskan-Eyak-Tlingit,14,47.0,7.75,random,3
Atlantic-Congo,479,38.0,14.0,random,3
Austroasiatic,52,40.0,8.0,random,3
Austronesian,131,25.0,6.0,random,3
Aymaran,4,42.0,2.5,random,3
Baining,1,22.0,0.0,random,3
Barbacoan,9,26.0,2.0,random,3
Blue Nile Mao,1,36.0,0.0,random,3
Bookkeeping,4,32.5,15.0,random,3
Boran,4,29.5,5.5,random,3
Border,3,22.0,2.0,random,3
Bororoan,3,20.0,0.0,random,3
Bunaban,2,23.5,0.5,random,3
Caddoan,3,29.0,3.0,random,3
Cahuapanan,3,21.0,1.5,random,3
Cariban,30,22.0,4.75,random,3
Central Sudanic,25,45.0,10.0,random,3
Chapacuran,3,21.0,1.5,random,3
Chibchan,12,24.5,7.0,random,3
Chicham,6,21.0,1.5,random,3
Chimakuan,1,37.0,0.0,random,3
Chiquitano,1,26.0,0.0,random,3
Chocoan,7,31.0,1.5,random,3
Chonan,3,31.0,1.0,random,3
Chukotko-Kamchatkan,6,24.5,8.75,random,3
Chumashan,1,44.0,0.0,random,3
Cochimi-Yuman,3,34.0,2.0,random,3
Dajuic,1,30.0,0.0,random,3
Dizoid,1,30.0,0.0,random,3
Dogon,3,42.0,2.5,random,3
Dravidian,42,39.0,16.0,random,3
East Strickland,1,18.0,0.0,random,3
Eastern Daly,1,22.0,0.0,random,3
Eastern Jebel,2,49.0,0.0,random,3
Eleman,1,14.0,0.0,random,3
Eskimo-Aleut,7,36.0,5.5,random,3
Furan,1,30.0,0.0,random,3
Garrwan,4,22.0,0.5,random,3
Giimbiyu,3,23.0,0.0,random,3
Great Andamanese,2,24.0,0.0,random,3
Guahiboan,5,25.0,7.0,random,3
Guaicuruan,10,28.0,9.0,random,3
Gumuz,1,44.0,0.0,random,3
Gunwinyguan,19,27.0,3.0,random,3
Haida,2,49.0,0.0,random,3
Harakmbut,1,33.0,0.0,random,3
Heibanic,6,40.0,8.5,random,3
Hibito-Cholon,1,20.0,0.0,random,3
Hmong-Mien,4,48.5,16.25,random,3
Huavean,2,29.0,0.0,random,3
Huitotoan,5,26.0,14.0,random,3
Ijoid,6,40.0,5.5,random,3
Indo-European,192,41.0,14.25,random,3
Iroquoian,5,22.0,10.0,random,3
Iwaidjan Proper,7,23.0,2.0,random,3
Japonic,4,21.0,1.5,random,3
Jarawa-Onge,1,24.0,0.0,random,3
Jarrakan,2,22.0,2.0,random,3
Jicaquean,1,28.0,0.0,random,3
Kadugli-Krongo,11,62.0,3.0,random,3
Kakua-Nukak,3,22.0,1.0,random,3
Kartvelian,6,35.0,2.75,random,3
Kawesqar,3,19.0,0.0,random,3
Keresan,1,51.0,0.0,random,3
Khoe-Kwadi,3,33.0,6.0,random,3
Kiowa-Tanoan,5,42.0,16.0,random,3
Kiwaian,1,19.0,0.0,random,3
Koiarian,1,16.0,0.0,random,3
Kolopom,1,44.0,0.0,random,3
Koman,5,28.0,6.0,random,3
Konda-Yahadian,1,33.0,0.0,random,3
Koreanic,2,32.0,0.0,random,3
Kresh-Aja,2,52.0,4.0,random,3
Kru,11,39.0,10.0,random,3
Kuliak,3,28.0,9.5,random,3
Kunimaipan,2,20.0,0.0,random,3
Kxa,2,130.5,10.5,random,3
Limilngan-Wulna,1,25.0,0.0,random,3
Maban,2,37.0,8.0,random,3
Maiduan,2,23.0,0.0,random,3
Mande,54,38.0,15.5,random,3
Mangarrayi-Maran,6,23.0,3.0,random,3
Maningrida,5,26.0,1.0,random,3
Marrku-Wurrugu,2,24.5,1.5,random,3
Mataguayan,5,28.0,0.0,random,3
Mayan,14,32.0,5.75,random,3
Maybratic,1,16.0,0.0,random,3
Mirndi,8,21.0,2.5,random,3
Misumalpan,1,28.0,0.0,random,3
Miwok-Costanoan,2,30.0,9.0,random,3
Mixe-Zoque,7,29.0,6.5,random,3
Mongolic-Khitan,16,33.5,8.0,random,3
Muskogean,5,21.0,4.0,random,3
Naduhup,4,34.5,3.25,random,3
Nakh-Daghestanian,17,60.0,19.0,random,3
Nambiquaran,6,29.5,12.75,random,3
Narrow Talodi,5,27.0,9.0,random,3
Ndu,3,24.0,1.0,random,3
Nilotic,31,37.0,16.0,random,3
Nimboranic,1,18.0,0.0,random,3
Nivkh,3,44.0,0.0,random,3
North Bougainville,1,11.0,0.0,random,3
North Halmahera,2,24.0,1.0,random,3
Northern Daly,2,19.0,0.0,random,3
Nubian,2,45.0,0.0,random,3
Nuclear Torricelli,6,22.0,1.5,random,3
Nuclear Trans New Guinea,31,21.0,5.0,random,3
Nuclear-Macro-Je,26,27.0,7.25,random,3
Nyimang,2,25.5,0.5,random,3
Nyulnyulan,11,20.0,5.0,random,3
Otomanguean,20,38.0,17.5,random,3
Palaihnihan,1,23.0,0.0,random,3
Pama-Nyungan,324,23.0,5.0,random,3
Pano-Tacanan,34,21.0,2.0,random,3
Peba-Yagua,3,23.0,2.5,random,3
Pidgin,1,36.0,0.0,random,3
Pomoan,3,32.0,3.5,random,3
Puri-Coroado,1,18.0,0.0,random,3
Quechuan,27,23.0,7.0,random,3
Sahaptian,2,30.0,0.0,random,3
Saharan,5,32.0,8.0,random,3
Saliban,3,30.0,0.0,random,3
Salishan,11,43.0,5.0,random,3
Senagi,1,17.0,0.0,random,3
Sentanic,2,17.0,0.0,random,3
Sepik,8,19.0,10.0,random,3
Shastan,1,21.0,0.0,random,3
Sino-Tibetan,135,43.0,16.5,random,3
Siouan,4,29.5,13.75,random,3
Sko,3,23.0,5.0,random,3
Songhay,7,37.0,2.0,random,3
South Bird's Head,1,18.0,0.0,random,3
South Bougainville,2,13.0,0.0,random,3
South Omotic,3,36.0,19.0,random,3
Southern Daly,4,28.0,0.75,random,3
Speech Register,1,32.0,0.0,random,3
Surmic,6,34.0,6.75,random,3
Ta-Ne-Omotic,12,38.0,18.0,random,3
Tai-Kadai,25,35.0,11.0,random,3
Tamaic,1,30.0,0.0,random,3
Tangkic,4,24.0,0.25,random,3
Tarascan,2,39.0,0.0,random,3
Teberan,1,23.0,0.0,random,3
Temeinic,2,36.0,11.0,random,3
Ticuna-Yuri,2,33.0,0.0,random,3
Timor-Alor-Pantar,2,34.0,6.0,random,3
Totonacan,4,28.0,12.5,random,3
Tsimshian,2,41.5,0.5,random,3
Tucanoan,23,22.0,7.5,random,3
Tungusic,7,29.0,9.0,random,3
Tupian,61,26.0,4.0,random,3
Turkic,32,39.0,8.5,random,3
Tuu,1,161.0,0.0,random,3
Unclassifiable,1,21.0,0.0,random,3
Uralic,46,36.0,10.25,random,3
Uru-Chipaya,2,42.0,9.0,random,3
Uto-Aztecan,18,26.0,12.75,random,3
Wakashan,4,47.5,1.0,random,3
Western Daly,6,27.5,7.75,random,3
Wintuan,1,35.0,0.0,random,3
Worrorran,9,25.0,1.0,random,3
Yangmanic,2,22.0,0.0,random,3
Yanomamic,11,33.0,2.5,random,3
Yareban,1,18.0,0.0,random,3
Yawa-Saweru,1,19.0,0.0,random,3
Yeniseian,2,32.0,0.0,random,3
Yukaghir,5,32.0,1.0,random,3
Yuki-Wappo,2,32.5,2.5,random,3
Zamucoan,2,33.5,3.5,random,3
Zaparoan,5,19.0,4.0,random,3
(Unknown),103,29.0,12.5,random,4
Abkhaz-Adyge,4,57.0,6.75,random,4
Afro-Asiatic,139,40.0,11.0,random,4
Ainu,2,17.0,0.0,random,4
Algic,8,28.0,9.5,random,4
Angan,1,21.0,0.0,random,4
Araucanian,3,26.0,0.0,random,4
Arawakan,58,25.0,8.0,random,4
Arawan,6,21.5,6.25,random,4
Athabaskan-Eyak-Tlingit,14,47.0,9.25,random,4
Atlantic-Congo,479,38.0,13.0,random,4
Austroasiatic,52,39.5,9.75,random,4
Austronesian,131,25.0,7.0,random,4
Aymaran,4,42.0,2.5,random,4
Baining,1,22.0,0.0,random,4
Barbacoan,9,26.0,4.0,random,4
Blue Nile Mao,1,36.0,0.0,random,4
Bookkeeping,4,32.5,15.0,random,4
Boran,4,29.5,5.5,random,4
Border,3,22.0,2.0,random,4
Bororoan,3,20.0,0.0,random,4
Bunaban,2,23.5,0.5,random,4
Caddoan,3,29.0,3.0,random,4
Cahuapanan,3,21.0,1.5,random,4
Cariban,30,21.5,5.75,random,4
Central Sudanic,25,45.0,11.0,random,4
Chapacuran,3,21.0,1.5,random,4
Chibchan,12,25.5,6.0,random,4
Chicham,6,24.0,0.75,random,4
Chimakuan,1,37.0,0.0,random,4
Chiquitano,1,26.0,0.0,random,4
Chocoan,7,31.0,1.5,random,4
Chonan,3,35.0,3.0,random,4
Chukotko-Kamchatkan,6,24.5,8.75,random,4
Chumashan,1,44.0,0.0,random,4
Cochimi-Yuman,3,34.0,2.0,random,4
Dajuic,1,30.0,0.0,random,4
Dizoid,1,30.0,0.0,random,4
Dogon,3,28.0,9.5,random,4
Dravidian,42,37.0,11.0,random,4
East Strickland,1,18.0,0.0,random,4
Eastern Daly,1,22.0,0.0,random,4
Eastern Jebel,2,33.0,0.0,random,4
Eleman,1,14.0,0.0,random,4
Eskimo-Aleut,7,27.0,14.0,random,4
Furan,1,30.0,0.0,random,4
Garrwan,4,17.0,0.75,random,4
Giimbiyu,3,23.0,0.0,random,4
Great Andamanese,2,35.0,0.0,random,4
Guahiboan,5,25.0,7.0,random,4
Guaicuruan,10,28.0,6.0,random,4
Gumuz,1,44.0,0.0,random,4
Gunwinyguan,19,27.0,3.0,random,4
Haida,2,50.0,0.0,random,4
Harakmbut,1,33.0,0.0,random,4
Heibanic,6,40.0,8.5,random,4
Hibito-Cholon,1,20.0,0.0,random,4
Hmong-Mien,4,52.5,8.25,random,4
Huavean,2,29.0,0.0,random,4
Huitotoan,5,26.0,10.0,random,4
Ijoid,6,40.0,5.5,random,4
Indo-European,192,40.0,13.0,random,4
Iroquoian,5,22.0,10.0,random,4
Iwaidjan Proper,7,23.0,2.0,random,4
Japonic,4,21.0,1.5,random,4
Jarawa-Onge,1,24.0,0.0,random,4
Jarrakan,2,22.0,2.0,random,4
Jicaquean,1,28.0,0.0,random,4
Kadugli-Krongo,11,55.0,33.5,random,4
Kakua-Nukak,3,22.0,1.0,random,4
Kartvelian,6,34.0,2.75,random,4
Kawesqar,3,24.0,0.0,random,4
Keresan,1,51.0,0.0,random,4
Khoe-Kwadi,3,33.0,6.0,random,4
Kiowa-Tanoan,5,42.0,16.0,random,4
Kiwaian,1,19.0,0.0,random,4
Koiarian,1,16.0,0.0,random,4
Kolopom,1,44.0,0.0,random,4
Koman,5,28.0,6.0,random,4
Konda-Yahadian,1,33.0,0.0,random,4
Koreanic,2,48.0,0.0,random,4
Kresh-Aja,2,52.0,4.0,random,4
Kru,11,39.0,10.0,random,4
Kuliak,3,28.0,9.5,random,4
Kunimaipan,2,20.0,0.0,random,4
Kxa,2,130.5,10.5,random,4
Limilngan-Wulna,1,25.0,0.0,random,4
Maban,2,37.0,8.0,random,4
Maiduan,2,23.0,0.0,random,4
Mande,54,39.0,9.0,random,4
Mangarrayi-Maran,6,23.0,3.0,random,4
Maningrida,5,26.0,1.0,random,4
Marrku-Wurrugu,2,24.5,1.5,random,4
Mataguayan,5,28.0,0.0,random,4
Mayan,14,29.0,6.0,random,4
Maybratic,1,16.0,0.0,random,4
Mirndi,8,21.0,2.5,random,4
Misumalpan,1,28.0,0.0,random,4
Miwok-Costanoan,2,30.0,9.0,random,4
Mixe-Zoque,7,29.0,6.5,random,4
Mongolic-Khitan,16,35.0,6.0,random,4
Muskogean,5,21.0,4.0,random,4
Naduhup,4,34.5,3.25,random,4
Nakh-Daghestanian,17,64.0,17.0,random,4
Nambiquaran,6,29.5,12.75,random,4
Narrow Talodi,5,27.0,9.0,random,4
Ndu,3,24.0,1.0,random,4
Nilotic,31,38.0,15.5,random,4
Nimboranic,1,18.0,0.0,random,4
Nivkh,3,35.0,0.0,random,4
North Bougainville,1,11.0,0.0,random,4
North Halmahera,2,24.0,1.0,random,4
Northern Daly,2,19.0,0.0,random,4
Nubian,2,45.0,0.0,random,4
Nuclear Torricelli,6,22.0,1.5,random,4
Nuclear Trans New Guinea,31,21.0,6.5,random,4
Nuclear-Macro-Je,26,26.5,8.0,random,4
Nyimang,2,25.5,0.5,random,4
Nyulnyulan,11,20.0,4.0,random,4
Otomanguean,20,36.0,19.5,random,4
Palaihnihan,1,23.0,0.0,random,4
Pama-Nyungan,324,23.0,5.0,random,4
Pano-Tacanan,34,21.0,3.0,random,4
Peba-Yagua,3,23.0,2.5,random,4
Pidgin,1,36.0,0.0,random,4
Pomoan,3,32.0,3.5,random,4
Puri-Coroado,1,18.0,0.0,random,4
Quechuan,27,23.0,5.0,random,4
Sahaptian,2,36.0,0.0,random,4
Saharan,5,32.0,8.0,random,4
Saliban,3,30.0,0.0,random,4
Salishan,11,40.0,6.5,random,4
Senagi,1,17.0,0.0,random,4
Sentanic,2,17.0,0.0,random,4
Sepik,8,19.0,10.0,random,4
Shastan,1,21.0,0.0,random,4
Sino-Tibetan,135,43.0,16.0,random,4
Siouan,4,29.5,13.75,random,4
Sko,3,23.0,5.0,random,4
Songhay,7,40.0,6.0,random,4
South Bird's Head,1,18.0,0.0,random,4
South Bougainville,2,13.0,0.0,random,4
South Omotic,3,36.0,19.0,random,4
Southern Daly,4,28.0,0.75,random,4
Speech Register,1,32.0,0.0,random,4
Surmic,6,34.0,6.75,random,4
Ta-Ne-Omotic,12,38.0,21.5,random,4
Tai-Kadai,25,35.0,8.0,random,4
Tamaic,1,30.0,0.0,random,4
Tangkic,4,24.0,0.25,random,4
Tarascan,2,39.0,0.0,random,4
Teberan,1,23.0,0.0,random,4
Temeinic,2,36.0,11.0,random,4
Ticuna-Yuri,2,33.0,0.0,random,4
Timor-Alor-Pantar,2,34.0,6.0,random,4
Totonacan,4,30.0,8.5,random,4
Tsimshian,2,41.5,0.5,random,4
Tucanoan,23,22.0,7.5,random,4
Tungusic,7,25.0,11.0,random,4
Tupian,61,26.0,4.0,random,4
Turkic,32,39.0,6.75,random,4
Tuu,1,161.0,0.0,random,4
Unclassifiable,1,21.0,0.0,random,4
Uralic,46,35.0,10.75,random,4
Uru-Chipaya,2,42.0,9.0,random,4
Uto-Aztecan,18,27.5,11.75,random,4
Wakashan,4,51.0,8.0,random,4
Western Daly,6,27.5,7.75,random,4
Wintuan,1,35.0,0.0,random,4
Worrorran,9,25.0,1.0,random,4
Yangmanic,2,22.0,0.0,random,4
Yanomamic,11,32.0,8.5,random,4
Yareban,1,18.0,0.0,random,4
Yawa-Saweru,1,19.0,0.0,random,4
Yeniseian,2,25.0,0.0,random,4
Yukaghir,5,32.0,1.0,random,4
Yuki-Wappo,2,32.5,2.5,random,4
Zamucoan,2,33.5,3.5,random,4
Zaparoan,5,19.0,4.0,random,4
(Unknown),103,27.0,14.5,random,5
Abkhaz-Adyge,4,62.5,1.75,random,5
Afro-Asiatic,139,41.0,14.0,random,5
Ainu,2,17.0,0.0,random,5
Algic,8,28.0,9.5,random,5
Angan,1,21.0,0.0,random,5
Araucanian,3,26.0,0.0,random,5
Arawakan,58,25.0,8.0,random,5
Arawan,6,21.5,6.25,random,5
Athabaskan-Eyak-Tlingit,14,47.0,18.25,random,5
Atlantic-Congo,479,38.0,14.0,random,5
Austroasiatic,52,39.5,11.0,random,5
Austronesian,131,25.0,8.0,random,5
Aymaran,4,42.0,2.75,random,5
Baining,1,22.0,0.0,random,5
Barbacoan,9,26.0,2.0,random,5
Blue Nile Mao,1,36.0,0.0,random,5
Bookkeeping,4,32.5,15.0,random,5
Boran,4,29.5,5.5,random,5
Border,3,22.0,2.0,random,5
Bororoan,3,20.0,0.0,random,5
Bunaban,2,23.5,0.5,random,5
Caddoan,3,29.0,3.0,random,5
Cahuapanan,3,21.0,1.5,random,5
Cariban,30,23.0,4.75,random,5
Central Sudanic,25,45.0,7.0,random,5
Chapacuran,3,20.0,1.0,random,5
Chibchan,12,25.5,6.0,random,5
Chicham,6,23.0,0.0,random,5
Chimakuan,1,37.0,0.0,random,5
Chiquitano,1,26.0,0.0,random,5
Chocoan,7,31.0,1.5,random,5
Chonan,3,31.0,1.0,random,5
Chukotko-Kamchatkan,6,24.5,8.75,random,5
Chumashan,1,40.0,0.0,random,5
Cochimi-Yuman,3,34.0,2.0,random,5
Dajuic,1,30.0,0.0,random,5
Dizoid,1,30.0,0.0,random,5
Dogon,3,42.0,2.5,random,5
Dravidian,42,37.0,10.0,random,5
East Strickland,1,18.0,0.0,random,5
Eastern Daly,1,22.0,0.0,random,5
Eastern Jebel,2,49.0,0.0,random,5
Eleman,1,14.0,0.0,random,5
Eskimo-Aleut,7,36.0,5.5,random,5
Furan,1,30.0,0.0,random,5
Garrwan,4,22.0,0.5,random,5
Giimbiyu,3,23.0,0.0,random,5
Great Andamanese,2,35.0,0.0,random,5
Guahiboan,5,25.0,13.0,random,5
Guaicuruan,10,26.0,7.0,random,5
Gumuz,1,44.0,0.0,random,5
Gunwinyguan,19,27.0,3.5,random,5
Haida,2,50.0,0.0,random,5
Harakmbut,1,33.0,0.0,random,5
Heibanic,6,40.0,8.5,random,5
Hibito-Cholon,1,20.0,0.0,random,5
Hmong-Mien,4,48.5,16.25,random,5
Huavean,2,29.0,0.0,random,5
Huitotoan,5,26.0,11.0,random,5
Ijoid,6,40.0,5.5,random,5
Indo-European,192,40.0,11.0,random,5
Iroquoian,5,19.0,2.0,random,5
Iwaidjan Proper,7,23.0,2.0,random,5
Japonic,4,32.5,16.5,random,5
Jarawa-Onge,1,24.0,0.0,random,5
Jarrakan,2,22.0,2.0,random,5
Jicaquean,1,28.0,0.0,random,5
Kadugli-Krongo,11,61.0,2.5,random,5
Kakua-Nukak,3,26.0,1.0,random,5
Kartvelian,6,35.5,3.75,random,5
Kawesqar,3,19.0,0.0,random,5
Keresan,1,51.0,0.0,random,5
Khoe-Kwadi,3,33.0,6.0,random,5
Kiowa-Tanoan,5,42.0,19.0,random,5
Kiwaian,1,19.0,0.0,random,5
Koiarian,1,16.0,0.0,random,5
Kolopom,1,44.0,0.0,random,5
Koman,5,28.0,3.0,random,5
Konda-Yahadian,1,33.0,0.0,random,5
Koreanic,2,38.0,0.0,random,5
Kresh-Aja,2,52.0,4.0,random,5
Kru,11,39.0,10.0,random,5
Kuliak,3,28.0,9.5,random,5
Kunimaipan,2,20.0,0.0,random,5
Kxa,2,130.5,10.5,random,5
Limilngan-Wulna,1,25.0,0.0,random,5
Maban,2,37.0,8.0,random,5
Maiduan,2,23.0,0.0,random,5
Mande,54,37.5,8.5,random,5
Mangarrayi-Maran,6,23.0,3.0,random,5
Maningrida,5,21.0,4.0,random,5
Marrku-Wurrugu,2,24.5,1.5,random,5
Mataguayan,5,28.0,0.0,random,5
Mayan,14,30.0,6.0,random,5
Maybratic,1,16.0,0.0,random,5
Mirndi,8,21.0,2.5,random,5
Misumalpan,1,28.0,0.0,random,5
Miwok-Costanoan,2,30.0,9.0,random,5
Mixe-Zoque,7,25.0,5.0,random,5
Mongolic-Khitan,16,33.5,10.0,random,5
Muskogean,5,21.0,4.0,random,5
Naduhup,4,34.5,2.0,random,5
Nakh-Daghestanian,17,64.0,16.0,random,5
Nambiquaran,6,29.5,12.75,random,5
Narrow Talodi,5,27.0,9.0,random,5
Ndu,3,24.0,1.0,random,5
Nilotic,31,37.0,16.0,random,5
Nimboranic,1,18.0,0.0,random,5
Nivkh,3,35.0,0.0,random,5
North Bougainville,1,11.0,0.0,random,5
North Halmahera,2,24.0,1.0,random,5
Northern Daly,2,19.0,0.0,random,5
Nubian,2,45.0,0.0,random,5
Nuclear Torricelli,6,22.0,1.5,random,5
Nuclear Trans New Guinea,31,21.0,5.0,random,5
Nuclear-Macro-Je,26,27.0,8.5,random,5
Nyimang,2,25.5,0.5,random,5
Nyulnyulan,11,20.0,5.0,random,5
Otomanguean,20,36.0,19.5,random,5
Palaihnihan,1,23.0,0.0,random,5
Pama-Nyungan,324,23.0,5.0,random,5
Pano-Tacanan,34,22.0,2.0,random,5
Peba-Yagua,3,23.0,2.5,random,5
Pidgin,1,36.0,0.0,random,5
Pomoan,3,38.0,0.5,random,5
Puri-Coroado,1,18.0,0.0,random,5
Quechuan,27,25.0,7.0,random,5
Sahaptian,2,36.0,0.0,random,5
Saharan,5,32.0,4.0,random,5
Saliban,3,30.0,0.0,random,5
Salishan,11,43.0,5.0,random,5
Senagi,1,17.0,0.0,random,5
Sentanic,2,17.0,0.0,random,5
Sepik,8,19.0,10.0,random,5
Shastan,1,21.0,0.0,random,5
Sino-Tibetan,135,43.0,14.5,random,5
Siouan,4,29.5,13.75,random,5
Sko,3,23.0,5.0,random,5
Songhay,7,37.0,2.0,random,5
South Bird's Head,1,18.0,0.0,random,5
South Bougainville,2,13.0,0.0,random,5
South Omotic,3,36.0,19.0,random,5
Southern Daly,4,24.0,2.75,random,5
Speech Register,1,32.0,0.0,random,5
Surmic,6,34.0,6.75,random,5
Ta-Ne-Omotic,12,38.0,18.0,random,5
Tai-Kadai,25,35.0,12.0,random,5
Tamaic,1,30.0,0.0,random,5
Tangkic,4,24.0,0.25,random,5
Tarascan,2,39.0,0.0,random,5
Teberan,1,23.0,0.0,random,5
Temeinic,2,36.0,11.0,random,5
Ticuna-Yuri,2,33.0,0.0,random,5
Timor-Alor-Pantar,2,34.0,6.0,random,5
Totonacan,4,30.0,8.5,random,5
Tsimshian,2,41.5,0.5,random,5
Tucanoan,23,23.0,4.5,random,5
Tungusic,7,25.0,2.0,random,5
Tupian,61,26.0,5.0,random,5
Turkic,32,37.0,6.0,random,5
Tuu,1,161.0,0.0,random,5
Unclassifiable,1,21.0,0.0,random,5
Uralic,46,35.0,8.5,random,5
Uru-Chipaya,2,42.0,9.0,random,5
Uto-Aztecan,18,27.0,5.5,random,5
Wakashan,4,51.0,8.0,random,5
Western Daly,6,27.5,7.75,random,5
Wintuan,1,35.0,0.0,random,5
Worrorran,9,25.0,1.0,random,5
Yangmanic,2,22.0,0.0,random,5
Yanomamic,11,33.0,2.0,random,5
Yareban,1,18.0,0.0,random,5
Yawa-Saweru,1,19.0,0.0,random,5
Yeniseian,2,25.0,0.0,random,5
Yukaghir,5,32.0,4.0,random,5
Yuki-Wappo,2,32.5,2.5,random,5
Zamucoan,2,33.5,3.5,random,5
Zaparoan,5,19.0,4.0,random,5
(Unknown),103,27.0,14.0,random,6
Abkhaz-Adyge,4,63.0,2.75,random,6
Afro-Asiatic,139,41.0,13.0,random,6
Ainu,2,16.0,0.0,random,6
Algic,8,28.0,9.5,random,6
Angan,1,21.0,0.0,random,6
Araucanian,3,26.0,0.0,random,6
Arawakan,58,25.0,4.75,random,6
Arawan,6,21.5,5.5,random,6
Athabaskan-Eyak-Tlingit,14,47.0,18.25,random,6
Atlantic-Congo,479,38.0,13.0,random,6
Austroasiatic,52,40.0,11.5,random,6
Austronesian,131,25.0,8.5,random,6
Aymaran,4,42.0,2.5,random,6
Baining,1,22.0,0.0,random,6
Barbacoan,9,26.0,2.0,random,6
Blue Nile Mao,1,36.0,0.0,random,6
Bookkeeping,4,32.5,15.0,random,6
Boran,4,29.5,5.5,random,6
Border,3,22.0,2.0,random,6
Bororoan,3,20.0,0.0,random,6
Bunaban,2,23.5,0.5,random,6
Caddoan,3,29.0,3.0,random,6
Cahuapanan,3,23.0,2.5,random,6
Cariban,30,21.5,5.0,random,6
Central Sudanic,25,45.0,7.0,random,6
Chapacuran,3,21.0,1.5,random,6
Chibchan,12,27.0,5.5,random,6
Chicham,6,21.0,1.5,random,6
Chimakuan,1,37.0,0.0,random,6
Chiquitano,1,26.0,0.0,random,6
Chocoan,7,33.0,4.0,random,6
Chonan,3,31.0,1.0,random,6
Chukotko-Kamchatkan,6,24.5,8.75,random,6
