family_name,N,median_inventory,iqr_inventory,selection,replicate
South Omotic,3,36.0,19.0,largest,0
Southern Daly,4,28.0,0.75,largest,0
Speech Register,1,32.0,0.0,largest,0
Surmic,6,34.0,6.75,largest,0
Ta-Ne-Omotic,12,38.0,18.0,largest,0
Tai-Kadai,25,38.0,11.0,largest,0
Tamaic,1,30.0,0.0,largest,0
Tangkic,4,24.0,0.25,largest,0
Tarascan,2,39.0,0.0,largest,0
Teberan,1,23.0,0.0,largest,0
Temeinic,2,36.0,11.0,largest,0
Ticuna-Yuri,2,38.0,0.0,largest,0
Timor-Alor-Pantar,2,34.0,6.0,largest,0
Totonacan,4,30.0,8.5,largest,0
Tsimshian,2,41.5,0.5,largest,0
Tucanoan,23,23.0,5.0,largest,0
Tungusic,7,29.0,9.0,largest,0
Tupian,61,26.0,6.0,largest,0
Turkic,32,39.0,6.75,largest,0
Tuu,1,161.0,0.0,largest,0
Unclassifiable,1,21.0,0.0,largest,0
Uralic,46,37.0,9.5,largest,0
Uru-Chipaya,2,42.0,9.0,largest,0
Uto-Aztecan,18,30.0,11.75,largest,0
Wakashan,4,51.0,8.0,largest,0
Western Daly,6,27.5,7.75,largest,0
Wintuan,1,35.0,0.0,largest,0
Worrorran,9,25.0,1.0,largest,0
Yangmanic,2,22.0,0.0,largest,0
Yanomamic,11,33.0,2.5,largest,0
Yareban,1,18.0,0.0,largest,0
Yawa-Saweru,1,19.0,0.0,largest,0
Yeniseian,2,32.0,0.0,largest,0
Yukaghir,5,39.0,3.0,largest,0
Yuki-Wappo,2,32.5,2.5,largest,0
Zamucoan,2,33.5,3.5,largest,0
Zaparoan,5,25.0,7.0,largest,0
(Unknown),103,27.0,12.5,smallest,0
Abkhaz-Adyge,4,55.0,8.75,smallest,0
Afro-Asiatic,139,38.0,11.0,smallest,0
Ainu,2,16.0,0.0,smallest,0
Algic,8,28.0,9.5,smallest,0
Angan,1,21.0,0.0,smallest,0
Araucanian,3,26.0,0.0,smallest,0
Arawakan,58,24.0,6.0,smallest,0
Arawan,6,21.5,6.25,smallest,0
Athabaskan-Eyak-Tlingit,14,47.0,16.75,smallest,0
Atlantic-Congo,479,37.0,13.5,smallest,0
Austroasiatic,52,38.0,11.25,smallest,0
Austronesian,131,24.0,6.0,smallest,0
Aymaran,4,39.0,2.0,smallest,0
Baining,1,22.0,0.0,smallest,0
Barbacoan,9,25.0,3.0,smallest,0
Blue Nile Mao,1,36.0,0.0,smallest,0
Bookkeeping,4,32.5,15.0,smallest,0
Boran,4,29.5,5.5,smallest,0
Border,3,22.0,2.0,smallest,0
Bororoan,3,20.0,0.0,smallest,0
Bunaban,2,23.5,0.5,smallest,0
Caddoan,3,29.0,3.0,smallest,0
Cahuapanan,3,21.0,1.5,smallest,0
Cariban,30,20.0,5.75,smallest,0
Central Sudanic,25,45.0,11.0,smallest,0
Chapacuran,3,20.0,1.0,smallest,0
Chibchan,12,24.5,7.0,smallest,0
Chicham,6,21.0,1.5,smallest,0
Chimakuan,1,37.0,0.0,smallest,0
Chiquitano,1,26.0,0.0,smallest,0
Chocoan,7,31.0,1.5,smallest,0
Chonan,3,31.0,1.0,smallest,0
Chukotko-Kamchatkan,6,24.0,10.5,smallest,0
Chumashan,1,40.0,0.0,smallest,0
Cochimi-Yuman,3,34.0,2.0,smallest,0
Dajuic,1,30.0,0.0,smallest,0
Dizoid,1,30.0,0.0,smallest,0
Dogon,3,28.0,9.5,smallest,0
Dravidian,42,34.0,7.0,smallest,0
East Strickland,1,18.0,0.0,smallest,0
Eastern Daly,1,22.0,0.0,smallest,0
Eastern Jebel,2,33.0,0.0,smallest,0
Eleman,1,14.0,0.0,smallest,0
Eskimo-Aleut,7,27.0,5.0,smallest,0
Furan,1,30.0,0.0,smallest,0
Garrwan,4,17.0,0.75,smallest,0
Giimbiyu,3,23.0,0.0,smallest,0
Great Andamanese,2,24.0,0.0,smallest,0
Guahiboan,5,25.0,7.0,smallest,0
Guaicuruan,10,26.0,7.0,smallest,0
Gumuz,1,44.0,0.0,smallest,0
Gunwinyguan,19,27.0,3.5,smallest,0
Haida,2,49.0,0.0,smallest,0
Harakmbut,1,33.0,0.0,smallest,0
Heibanic,6,40.0,8.5,smallest,0
Hibito-Cholon,1,20.0,0.0,smallest,0
Hmong-Mien,4,48.5,16.25,smallest,0
Huavean,2,24.0,0.0,smallest,0
Huitotoan,5,26.0,10.0,smallest,0
Ijoid,6,40.0,5.5,smallest,0
Indo-European,192,39.0,11.0,smallest,0
Iroquoian,5,19.0,2.0,smallest,0
Iwaidjan Proper,7,23.0,2.0,smallest,0
Japonic,4,20.0,1.5,smallest,0
Jarawa-Onge,1,24.0,0.0,smallest,0
Jarrakan,2,22.0,2.0,smallest,0
Jicaquean,1,28.0,0.0,smallest,0
Kadugli-Krongo,11,55.0,33.5,smallest,0
Kakua-Nukak,3,22.0,1.0,smallest,0
Kartvelian,6,33.0,1.5,smallest,0
Kawesqar,3,19.0,0.0,smallest,0
Keresan,1,51.0,0.0,smallest,0
Khoe-Kwadi,3,33.0,6.0,smallest,0
Kiowa-Tanoan,5,42.0,19.0,smallest,0
Kiwaian,1,19.0,0.0,smallest,0
Koiarian,1,16.0,0.0,smallest,0
Kolopom,1,44.0,0.0,smallest,0
Koman,5,28.0,3.0,smallest,0
Konda-Yahadian,1,33.0,0.0,smallest,0
Koreanic,2,32.0,0.0,smallest,0
Kresh-Aja,2,52.0,4.0,smallest,0
Kru,11,39.0,10.0,smallest,0
Kuliak,3,28.0,9.5,smallest,0
Kunimaipan,2,20.0,0.0,smallest,0
Kxa,2,130.5,10.5,smallest,0
Limilngan-Wulna,1,25.0,0.0,smallest,0
Maban,2,37.0,8.0,smallest,0
Maiduan,2,23.0,0.0,smallest,0
Mande,54,36.0,5.0,smallest,0
Mangarrayi-Maran,6,23.0,3.0,smallest,0
Maningrida,5,21.0,4.0,smallest,0
Marrku-Wurrugu,2,24.5,1.5,smallest,0
Mataguayan,5,28.0,0.0,smallest,0
Mayan,14,29.0,6.0,smallest,0
Maybratic,1,16.0,0.0,smallest,0
Mirndi,8,21.0,2.5,smallest,0
Misumalpan,1,28.0,0.0,smallest,0
Miwok-Costanoan,2,30.0,9.0,smallest,0
Mixe-Zoque,7,25.0,5.0,smallest,0
Mongolic-Khitan,16,33.5,10.0,smallest,0
Muskogean,5,21.0,8.0,smallest,0
Naduhup,4,34.5,3.25,smallest,0
Nakh-Daghestanian,17,53.0,19.0,smallest,0
Nambiquaran,6,29.5,14.25,smallest,0
Narrow Talodi,5,27.0,9.0,smallest,0
Ndu,3,24.0,1.0,smallest,0
Nilotic,31,37.0,16.0,smallest,0
Nimboranic,1,18.0,0.0,smallest,0
Nivkh,3,34.0,0.0,smallest,0
